Name,Term,ES,NES,nominal_p,fdr,fwer_p,Tag %,Gene %,leading_edge
prerank,Interferon Gamma Response,0.2338113170589666,1.1593038432737435,0.16159250585480095,0.40593148756452374,0.968,46/177,20.72%,BST2;SAMD9L;LAP3;TNFAIP3;HLA-DQA1;CCL5;FGL2;DDX58;CMKLR1;CASP1;SAMHD1;CD86;WARS1;B2M;OGFR;TNFSF10;CIITA;BATF2;PTPN2;BANK1;MARCHF1;IRF8;ST8SIA4;FAS;GZMA;IL2RB;GCH1;ST3GAL5;IFI27;IFIH1;KLRK1;NUP93;UPP1;PFKP;HLA-DMA;GBP4;SSPN;JAK2;HIF1A;XAF1;NOD1;VAMP8;AUTS2;RIPK1;DDX60;STAT4
prerank,Myc Targets V1,0.23801506536506642,1.1916205458312936,0.10375275938189846,0.4112740497419052,0.944,47/188,20.49%,HNRNPR;PSMC6;RPL34;RSL1D1;DEK;ILF2;MCM2;CCT2;RPL6;ERH;NCBP2;BUB3;USP1;SNRPA1;ETF1;C1QBP;EEF1B2;SYNCRIP;SSBP1;EIF1AX;SRSF3;CBX3;RNPS1;HNRNPA1;PSMA6;NOLC1;MCM4;TRIM28;PSMA4;SMARCC1;IARS1;XPOT;HDDC2;RPL22;CUL1;CCT7;CDK2;COPS5;CCT4;DDX18;ORC2;NCBP1;SSB;PSMD3;SRSF7;SRSF2;PABPC1
prerank,Wnt-beta Catenin Signaling,-0.33442817023379134,-1.1010557913948396,0.3128491620111732,0.41716790495371237,0.999,8/23,19.09%,FRAT1;TCF7;AXIN1;NOTCH1;LEF1;CSNK1E;CTNNB1;ADAM17
prerank,TNF-alpha Signaling via NF-kB,-0.24002718649190508,-1.1068248144237256,0.22980251346499103,0.4219257581655402,0.999,38/127,22.11%,RELB;IL1B;NFKB1;CEBPB;BCL3;IFNGR2;CSF1;LITAF;STAT5A;SLC2A3;RHOB;FOSL2;SOCS3;KLF2;JUNB;CD83;FOS;SQSTM1;KLF6;EHD1;MXD1;TNIP2;KLF4;IRF1;IER5;EIF1;IRS2;KDM6B;SGK1;MCL1;NFKBIE;SOD2;TNIP1;PFKFB3;BTG2;B4GALT5;NFKB2;ICOSLG
prerank,PI3K/AKT/mTOR  Signaling,-0.25550135390271445,-1.112924819523486,0.22563176895306858,0.4250013902018573,0.999,25/81,25.82%,RPS6KA1;YWHAB;GRK2;MKNK2;MAPK9;TNFRSF1A;MKNK1;AKT1;PDK1;PPP1CA;RALB;ARF1;SQSTM1;NFKBIB;PRKCB;MAPK1;DDIT3;NCK1;HSP90B1;TIAM1;PFN1;MYD88;ECSIT;CFL1;RIT1
prerank,Epithelial Mesenchymal Transition,-0.2821597703891433,-1.1162536673903372,0.3005893909626719,0.4374931880108992,0.997,16/61,17.81%,LRP1;ITGA5;SPARC;MYLK;RHOB;NOTCH2;PFN2;PVR;ENO2;ITGB3;TIMP1;TPM4;SLC6A8;COLGALT1;FUCA1;ANPEP
prerank,TGF-beta Signaling,-0.2895116465839448,-1.0681400194953738,0.3389513108614232,0.4454052759229871,1.0,10/37,15.48%,NOG;FURIN;IFNGR2;FKBP1A;ID3;PPP1CA;JUNB;RAB31;RHOA;CTNNB1
prerank,Protein Secretion,0.3086590330635904,1.3701153077559625,0.029213483146067417,0.44702017832003754,0.549,19/86,11.35%,MON2;GOLGA4;DNM1L;SNX2;COPB2;TMX1;CLN5;ANP32E;COG2;STX7;ERGIC3;RPS6KA3;ABCA1;M6PR;STX16;DST;ARFIP1;CTSC;VAMP3
prerank,Glycolysis,-0.2305326103421885,-1.0701653042044375,0.3242258652094718,0.45795251070455434,1.0,37/117,27.16%,TPI1;SLC16A3;TALDO1;CYB5A;GMPPB;ME2;B4GALT7;GALK1;EXT2;LHPP;PAM;MIF;ALDH9A1;HDLBP;SLC25A13;PDK3;B3GAT3;ENO2;AK3;GMPPA;GALK2;IRS2;RBCK1;PRPS1;PGAM1;HK2;ERO1A;AKR1A1;PLOD1;CHST2;GCLC;SDHC;HSPA5;MXI1;CAPN5;PPIA;AURKA
prerank,Complement,-0.2302118856954513,-1.0756571707482596,0.2843691148775895,0.4622615803814714,1.0,32/128,18.81%,LRP1;GNB2;GMFB;GNAI3;CEBPB;HSPA1A;RABIF;STX4;DGKH;CALM3;GP9;FCN1;RNF4;CTSO;ANXA5;MSRB1;SIRT6;BRPF3;LTA4H;PIK3R5;TIMP1;CLU;TIMP2;EHD1;LYN;IRF1;PREP;GNAI2;GP1BA;WAS;GPD2;CTSB
